At least,But less than,Single,Married filing jointly,Head of a house hold,Married filing separately
25700,25750,1321,1088,1186,1321
25750,25800,1324,1090,1189,1324
25800,25850,1327,1093,1192,1327
25850,25900,1331,1095,1195,1331
25900,25950,1334,1098,1197,1334
25950,26000,1337,1101,1200,1337
26000,26050,1340,1103,1203,1340
26050,26100,1344,1106,1206,1344
26100,26150,1347,1109,1209,1347
26150,26200,1350,1111,1212,1350
26200,26250,1353,1114,1215,1353
26250,26300,1356,1116,1218,1356
26300,26350,1360,1119,1221,1360
26350,26400,1363,1122,1224,1363
26400,26450,1366,1124,1227,1366
26450,26500,1369,1127,1230,1369
26500,26550,1373,1130,1233,1373
26550,26600,1376,1132,1236,1376
26600,26650,1379,1135,1239,1379
26650,26700,1382,1137,1242,1382
26700,26750,1385,1140,1245,1385
26750,26800,1389,1143,1248,1389
26800,26850,1392,1145,1251,1392
26850,26900,1395,1148,1254,1395
26900,26950,1398,1151,1256,1398
26950,27000,1402,1153,1259,1402
27000,27050,1405,1156,1262,1405
27050,27100,1408,1158,1265,1408
27100,27150,1411,1161,1268,1411
27150,27200,1414,1164,1271,1414
27200,27250,1418,1166,1274,1418
27250,27300,1421,1169,1277,1421
27300,27350,1424,1172,1280,1424
27350,27400,1427,1174,1283,1427
27400,27450,1431,1177,1286,1431
27450,27500,1434,1179,1289,1434
27500,27550,1437,1182,1292,1437
27550,27600,1440,1185,1295,1440
27600,27650,1444,1187,1298,1444
27650,27700,1447,1190,1301,1447
27700,27750,1450,1193,1304,1450
27750,27800,1453,1195,1307,1453
27800,27850,1456,1198,1310,1456
27850,27900,1460,1200,1313,1460
27900,27950,1463,1203,1315,1463
27950,28000,1466,1206,1318,1466
28000,28050,1469,1209,1321,1469
28050,28100,1473,1212,1324,1473
28100,28150,1476,1215,1327,1476
28150,28200,1479,1218,1330,1479
28200,28250,1482,1221,1333,1482
28250,28300,1485,1224,1336,1485
28300,28350,1489,1227,1339,1489
28350,28400,1492,1230,1342,1492
28400,28450,1495,1233,1345,1495
28450,28500,1498,1236,1348,1498
28500,28550,1502,1239,1351,1502
28550,28600,1505,1242,1354,1505
28600,28650,1508,1245,1357,1508
28650,28700,1511,1248,1360,1511
28700,28750,1514,1251,1363,1514
28750,28800,1518,1254,1366,1518
28800,28850,1521,1257,1369,1521
28850,28900,1524,1260,1372,1524
28900,28950,1527,1262,1374,1527
28950,29000,1531,1265,1377,1531
29000,29050,1534,1268,1380,1534
29050,29100,1537,1271,1383,1537
29100,29150,1540,1274,1386,1540
29150,29200,1543,1277,1389,1543
29200,29250,1547,1280,1392,1547
29250,29300,1550,1283,1395,1550
29300,29350,1553,1286,1398,1553
29350,29400,1556,1289,1401,1556
29400,29450,1560,1292,1404,1560
29450,29500,1563,1295,1407,1563
29500,29550,1566,1298,1410,1566
29550,29600,1569,1301,1413,1569
29600,29650,1573,1304,1416,1573
29650,29700,1576,1307,1419,1576
29700,29750,1579,1310,1422,1579
29750,29800,1582,1313,1425,1582
29800,29850,1585,1316,1428,1585
29850,29900,1589,1319,1431,1589
29900,29950,1592,1321,1433,1592
29950,30000,1595,1324,1436,1595
30000,30050,1598,1327,1439,1598
30050,30100,1602,1330,1442,1602
